arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324076.907358,61,BTC-USD,1,2026-04-04 17:34:36.907357931+00:00,2.7959346771240234,37.235779762268066,124.86593516317923,-0.2758145769711878,False,before
1775324076.9075809,62,BTC-USD,5,2026-04-04 17:34:36.907580853+00:00,0.22292137145996094,37.23805904388428,124.8652446639365,-0.2964406770839012,False,before
1775324076.9077592,63,BTC-USD,2,2026-04-04 17:34:36.907759190+00:00,0.17833709716796875,37.239742279052734,124.86473429656641,-0.2968124297919072,False,before
1775324076.960911,64,BTC-USD,1,2026-04-04 17:34:36.960911036+00:00,53.151845932006836,38.30088138580322,124.76803341110484,0.11902860163925466,False,before
1775324077.709861,65,BTC-USD,2,2026-04-04 17:34:37.709861040+00:00,748.9500045776367,53.27797889709473,160.04673234544504,4.346680594384162,True,before
1775324077.7102132,66,BTC-USD,2,2026-04-04 17:34:37.710213184+00:00,0.3521442413330078,53.28286170959473,160.04508081104174,-0.33072380106924193,False,before
1775324077.710398,67,BTC-USD,1,2026-04-04 17:34:37.710397959+00:00,0.18477439880371094,53.28470230102539,160.04445714452197,-0.3317823612864758,False,before
1775324077.710567,68,BTC-USD,2,2026-04-04 17:34:37.710566998+00:00,0.1690387725830078,53.285722732543945,160.04411140188736,-0.3318877745309819,False,before
1775324077.710735,69,BTC-USD,5,2026-04-04 17:34:37.710735083+00:00,0.16808509826660156,53.2843017578125,160.04459231023856,-0.33188385744757143,False,before
1775324077.710911,70,BTC-USD,7,2026-04-04 17:34:37.710911036+00:00,0.17595291137695312,53.28497886657715,160.04436296187907,-0.3318394036024263,False,before
1775324077.711089,71,BTC-USD,1,2026-04-04 17:34:37.711088896+00:00,0.17786026000976562,53.27399730682373,160.04806166293517,-0.33175120332688335,False,before
1775324077.7112498,72,BTC-USD,5,2026-04-04 17:34:37.711249828+00:00,0.1609325408935547,53.275017738342285,160.04771594499456,-0.3318640624381235,False,before
1775324077.711422,73,BTC-USD,5,2026-04-04 17:34:37.711421967+00:00,0.17213821411132812,53.27621936798096,160.0473088795616,-0.33180239971314596,False,before
1775324077.7115982,74,BTC-USD,8,2026-04-04 17:34:37.711598158+00:00,0.1761913299560547,53.2777214050293,160.04680000026192,-0.33178751512049187,False,before
1775324077.711786,75,BTC-USD,7,2026-04-04 17:34:37.711786032+00:00,0.18787384033203125,53.27958106994629,160.04616996956196,-0.3317274461470174,False,before
1775324077.711966,76,BTC-USD,9,2026-04-04 17:34:37.711966038+00:00,0.1800060272216797,53.2811975479126,160.04562228913517,-0.331787841249162,False,before
1775324077.712106,77,BTC-USD,2,2026-04-04 17:34:37.712105989+00:00,0.1399517059326172,53.282036781311035,160.04533783001625,-0.33204394327200265,False,before
1775324077.76027,78,BTC-USD,1,2026-04-04 17:34:37.760270119+00:00,48.16412925720215,54.24328327178955,159.86364432400504,-0.0380271201766577,False,before
1775324078.630419,79,BTC-USD,8,2026-04-04 17:34:38.630419016+00:00,870.1488971710205,71.61092281341553,196.92168291947735,4.0551043568124125,True,before
1775324078.6307871,80,BTC-USD,2,2026-04-04 17:34:38.630787134+00:00,0.3681182861328125,71.33121967315674,197.0145803313532,-0.36019213028636315,False,before
1775324078.631019,81,BTC-USD,16,2026-04-04 17:34:38.631019115+00:00,0.2319812774658203,70.42184352874756,197.24010710782665,-0.3558599885210494,False,before
1775324078.631277,82,BTC-USD,35,2026-04-04 17:34:38.631277084+00:00,0.2579689025878906,69.40897941589355,197.47228949714034,-0.35018083139359696,False,before
1775324078.631545,83,BTC-USD,10,2026-04-04 17:34:38.631545067+00:00,0.26798248291015625,68.32978248596191,197.70425901859602,-0.3442606666184661,False,before
