arrival_ts,sequence,product,num_changes
1775324083.444862,167,BTC-USD,9
1775324083.444993,168,BTC-USD,15
1775324083.445111,169,BTC-USD,16
1775324083.4452229,170,BTC-USD,14
1775324083.445357,171,BTC-USD,12
1775324083.44549,172,BTC-USD,6
1775324083.445599,173,BTC-USD,2
1775324083.445756,174,BTC-USD,1
1775324083.445878,175,BTC-USD,3
1775324083.445977,176,BTC-USD,7
1775324083.446076,177,BTC-USD,1
1775324083.446183,178,BTC-USD,2
1775324083.464618,179,BTC-USD,6
1775324083.513725,180,BTC-USD,5
1775324083.564728,181,BTC-USD,9
1775324083.6138911,182,BTC-USD,8
1775324083.664834,183,BTC-USD,8
1775324083.714029,184,BTC-USD,8
1775324083.763957,185,BTC-USD,16
1775324083.9141471,186,BTC-USD,7
1775324083.959104,187,BTC-USD,1
1775324084.010172,188,BTC-USD,2
1775324084.876255,189,BTC-USD,15
1775324084.8764591,190,BTC-USD,5
1775324084.876566,191,BTC-USD,7
1775324084.87667,192,BTC-USD,3
1775324084.876766,193,BTC-USD,7
1775324084.876875,194,BTC-USD,4
1775324085.591317,195,BTC-USD,5
1775324086.21455,196,BTC-USD,16
1775324086.2150102,197,BTC-USD,6
1775324086.2152069,198,BTC-USD,16
1775324086.215429,199,BTC-USD,17
1775324086.2156959,200,BTC-USD,17
1775324086.215915,201,BTC-USD,6
1775324086.216185,202,BTC-USD,9
1775324086.2164102,203,BTC-USD,22
1775324086.900183,204,BTC-USD,13
1775324086.900476,205,BTC-USD,46
1775324086.9047942,206,BTC-USD,7
1775324086.905038,207,BTC-USD,6
1775324086.907094,208,BTC-USD,5
1775324086.907315,209,BTC-USD,6
1775324086.910686,210,BTC-USD,17
1775324086.9109519,211,BTC-USD,4
1775324086.9120052,212,BTC-USD,3
1775324086.912194,213,BTC-USD,4
1775324086.913623,214,BTC-USD,6
1775324086.9152262,215,BTC-USD,1
1775324086.9236999,216,BTC-USD,4
1775324086.9240189,217,BTC-USD,1
1775324086.924202,218,BTC-USD,11
1775324086.924395,219,BTC-USD,11
1775324086.924588,220,BTC-USD,3
1775324086.924754,221,BTC-USD,9
1775324086.924932,222,BTC-USD,6
1775324086.932269,223,BTC-USD,28
1775324086.9325829,224,BTC-USD,10
1775324086.932811,225,BTC-USD,6
1775324086.933035,226,BTC-USD,7
1775324086.933216,227,BTC-USD,1
1775324086.933804,228,BTC-USD,1
1775324086.933981,229,BTC-USD,4
1775324086.9401422,230,BTC-USD,4
1775324086.9404008,231,BTC-USD,1
1775324086.940537,232,BTC-USD,1
1775324086.940672,233,BTC-USD,1
1775324086.9408,234,BTC-USD,4
1775324086.941853,235,BTC-USD,1
1775324086.942005,236,BTC-USD,1
1775324086.946559,237,BTC-USD,3
1775324086.94675,238,BTC-USD,11
1775324086.946914,239,BTC-USD,2
1775324086.948072,240,BTC-USD,4
1775324086.9498491,241,BTC-USD,2
1775324086.954991,242,BTC-USD,6
1775324086.955293,243,BTC-USD,1
1775324086.955538,244,BTC-USD,1
1775324086.955713,245,BTC-USD,2
1775324086.9644108,246,BTC-USD,2
1775324087.013521,247,BTC-USD,6
1775324087.064424,248,BTC-USD,8
1775324087.114468,249,BTC-USD,15
1775324087.164459,250,BTC-USD,9
1775324087.2146509,251,BTC-USD,7
1775324087.265229,252,BTC-USD,20
1775324087.313761,253,BTC-USD,10
1775324087.363786,254,BTC-USD,5
1775324087.4140959,255,BTC-USD,3
1775324087.4647622,256,BTC-USD,5
1775324087.5149398,257,BTC-USD,7
1775324087.5636039,258,BTC-USD,4
1775324087.616168,259,BTC-USD,4
1775324087.6609821,260,BTC-USD,1
1775324087.710142,261,BTC-USD,1
1775324087.760374,262,BTC-USD,2
1775324087.814008,263,BTC-USD,6
1775324087.909939,264,BTC-USD,1
1775324087.9627242,265,BTC-USD,6
1775324088.00995,266,BTC-USD,3
1775324088.0638158,267,BTC-USD,6
1775324088.113857,268,BTC-USD,5
1775324088.1638541,269,BTC-USD,7
1775324088.214059,270,BTC-USD,3
1775324088.2641878,271,BTC-USD,7
1775324088.313361,272,BTC-USD,3
1775324088.364466,273,BTC-USD,7
1775324088.41095,274,BTC-USD,2
1775324088.4637299,275,BTC-USD,12
1775324088.514346,276,BTC-USD,18
1775324088.561615,277,BTC-USD,6
1775324088.614113,278,BTC-USD,16
1775324088.6642141,279,BTC-USD,7
1775324088.71011,280,BTC-USD,6
1775324088.765883,281,BTC-USD,9
1775324088.81218,282,BTC-USD,3
1775324088.860899,283,BTC-USD,2
1775324088.913332,284,BTC-USD,4
1775324088.9644349,285,BTC-USD,6
1775324089.0153441,286,BTC-USD,10
1775324089.0634382,287,BTC-USD,7
1775324089.114562,288,BTC-USD,5
1775324089.16609,289,BTC-USD,16
1775324089.9969769,290,BTC-USD,20
1775324089.997291,291,BTC-USD,5
1775324089.997416,292,BTC-USD,12
1775324089.9975271,293,BTC-USD,4
1775324089.997628,294,BTC-USD,70
1775324089.997809,295,BTC-USD,8
1775324089.997938,296,BTC-USD,11
1775324089.99808,297,BTC-USD,14
1775324089.998192,298,BTC-USD,15
1775324089.998335,299,BTC-USD,4
1775324089.998455,300,BTC-USD,24
1775324089.9985769,301,BTC-USD,11
1775324089.998749,302,BTC-USD,7
1775324089.998862,303,BTC-USD,7
1775324089.9989738,304,BTC-USD,6
1775324089.999188,305,BTC-USD,2
1775324090.020266,306,BTC-USD,3
1775324090.0603368,307,BTC-USD,1
1775324090.116328,308,BTC-USD,93
1775324090.1664598,309,BTC-USD,33
1775324090.21436,310,BTC-USD,21
1775324090.263534,311,BTC-USD,28
